id:INT,state,city,population,airport,airport_iata
490603,Iowa,East Brittany,4578322,Norfolk International airport,PDX
394878,South Carolina,Alvaradochester,4329228,Fuzhou airport,BUD
468304,Oklahoma,Jameston,4357697,Gothenburg airport,MDW
194334,Montana,East Stephen,2192888,El Plumerillo airport,KWE
306018,Hawaii,Bushfort,3319382,Presidente Castro Pinto International airport,BOO
377687,Oklahoma,South Adamberg,3370980,Hefei-Luogang airport,BLQ
374079,Texas,Penashire,1683636,Hsien Yang airport,EDI
424085,Delaware,East Marisaton,1354213,Oslo Gardermoen airport,AJU
439196,Texas,Karenville,2130837,Nanchang New airport,PCL
223983,Colorado,South Steven,4190750,Doha International airport,PLJ
